=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.2 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
      103        1:0        1:0       0.987 
      104        9:8        9:8       0.984 
      105        5:4        5:4       0.97 
      106       10:9       10:9       0.999 
      107        2:1        2:1       0.999 
      108       10:9       10:9       0.965 
      109        2:1        2:1       1 
      110        1:0        1:0       0.999 
      111        9:8        9:8       0.989 
      112        9:8        9:8       0.985 
      113        5:4        5:4       0.966 
      114        1:0        9:8   +   0.744 
      115       10:9       10:9       0.89 
      116        2:1        2:1       0.999 
      117        2:1        2:1       0.976 
      118        2:1        2:1       0.992 
      119        6:5        6:5       0.999 
      120       10:9       10:9       0.953 
      121        2:1        2:1       1 
      122        2:1        2:1       0.717 
      123       10:9       10:9       0.99 
      124        2:1        2:1       0.999 
      125        1:0        1:0       0.801 
      126        9:8        2:1   +   0.997 
      127        1:0        1:0       0.9 
      128       10:9       10:9       0.998 
      129        4:3        4:3       0.994 
      130       10:9       10:9       0.995 
      131        1:0        1:0       0.999 
      132        5:4        5:4       1 
      133        2:1        2:1       0.999 
      134       10:9       10:9       0.945 
      135       10:9       10:9       1 
      136       10:9       10:9       0.999 
      137        9:8        9:8       0.983 
      138        6:5        6:5       0.753 
      139       10:9       10:9       0.997 
      140        6:5        6:5       1 
      141       10:9       10:9       1 
      142        1:0        1:0       0.923 
      143       10:9       10:9       0.998 
      144        2:1        2:1       0.999 
      145        5:4        5:4       0.59 
      146        2:1        2:1       0.904 
      147        2:1        2:1       0.94 
      148        6:5        6:5       0.998 
      149        3:2        3:2       0.998 
      150        6:5        6:5       0.996 
      151        6:5        6:5       0.998 
      152       10:9       10:9       0.95 
      153        5:4        5:4       0.734 
      154        6:5        6:5       0.992 
      155       10:9       10:9       1 
      156        6:5        6:5       0.998 
      157        1:0        1:0       0.974 
      158        2:1        2:1       0.938 
      159        1:0        1:0       1 
      160        5:4        5:4       0.72 
      161        9:8        9:8       0.98 
      162        9:8        9:8       0.992 
      163        5:4        5:4       0.996 
      164        3:2        3:2       0.97 
      165       10:9       10:9       0.503 
      166        6:5        6:5       0.999 
      167        2:1        2:1       0.969 
      168        5:4        5:4       0.997 
      169        9:8        9:8       0.999 
      170        2:1        2:1       1 
      171        1:0        1:0       0.996 
      172        9:8        9:8       0.985 
      173        5:4        5:4       0.872 
      174        2:1        2:1       1 
      175        9:8        9:8       0.994 
      176        9:8        9:8       0.999 
      177        9:8       10:9   +   0.683 
      178        9:8        9:8       0.99 
      179        1:0        1:0       0.983 
      180        5:4        5:4       0.71 
      181        5:4       10:9   +   0.922 
      182        5:4        5:4       0.998 
      183       10:9       10:9       0.999 
      184       10:9       10:9       0.975 
      185        2:1        2:1       0.999 
      186        2:1        2:1       0.998 
      187        3:2        9:8   +   0.959 
      188        7:6        7:6       0.988 
      189        2:1        2:1       0.997 
      190       10:9       10:9       0.998 
      191        9:8        9:8       0.826 
      192        5:4        5:4       0.998 
      193       10:9       10:9       0.998 
      194        6:5        6:5       0.984 
      195        1:0        1:0       0.638 
      196        1:0        1:0       0.992 
      197        2:1        2:1       1 
      198       10:9       10:9       0.999 
      199       10:9       10:9       0.998 
      200        9:8        9:8       0.997 
      201        5:4        5:4       0.996 
      202        6:5        6:5       0.999 
      203        3:2        9:8   +   0.999 
      204        5:4        5:4       0.79 
      205        7:6        7:6       0.974 
      206       10:9       10:9       0.984 
      207        1:0        1:0       0.999 
      208        2:1        2:1       0.996 
      209        2:1        2:1       0.988 
      210        6:5        6:5       0.98 
      211        2:1        2:1       0.999 
      212        1:0        1:0       0.984 
      213        2:1        2:1       0.999 
      214        5:4        5:4       0.94 
      215        1:0        1:0       0.993 
      216        9:8        9:8       0.996 
      217        2:1        2:1       0.998 
      218       10:9       10:9       0.99 
      219        2:1        2:1       0.995 
      220        2:1        4:3   +   0.584 
      221       10:9       10:9       0.982 
      222        6:5        6:5       0.999 
      223        2:1        2:1       1 
      224        6:5        6:5       0.993 
      225        6:5        6:5       0.83 
      226        2:1        2:1       0.992 
      227        6:5        6:5       0.906 
      228        2:1        4:3   +   0.9 
      229        1:0        1:0       1 
      230        5:4        5:4       0.808 
      231        9:8        7:6   +   0.5 
      232        1:0        1:0       0.997 
      233        2:1        2:1       0.999 
      234        2:1        2:1       0.988 
      235        7:6        7:6       0.978 
      236        6:5        6:5       0.993 
      237        2:1        2:1       0.998 
      238        2:1        2:1       0.996 
      239        1:0        1:0       0.759 
      240       10:9       10:9       0.993 
      241        5:4       10:9   +   0.907 
      242        2:1        2:1       1 
      243        5:4        5:4       0.996 
      244        7:6        7:6       0.967 
      245        4:3        4:3       0.98 
      246        6:5        6:5       0.995 
      247       10:9       10:9       0.999 
      248       10:9       10:9       1 
      249       10:9        3:2   +   0.963 
      250        9:8        9:8       0.901 
      251       10:9        9:8   +   0.505 
      252        1:0        1:0       0.966 
      253        3:2        3:2       0.989 
      254        5:4        5:4       0.996 
      255        5:4        5:4       0.981 
      256       10:9       10:9       0.999 
      257        9:8        9:8       0.926 
      258       10:9       10:9       0.973 
      259        1:0        1:0       0.997 
      260        5:4        5:4       0.994 
      261       10:9       10:9       1 
      262       10:9       10:9       0.995 
      263        4:3        4:3       0.572 
      264       10:9        6:5   +   0.668 
      265        1:0        1:0       0.793 
      266        2:1        2:1       1 
      267        2:1        1:0   +   0.833 
      268        2:1        2:1       0.893 
      269       10:9       10:9       0.999 
      270        1:0        1:0       0.997 
      271        2:1        2:1       0.993 
      272        7:6        7:6       0.828 
      273        6:5        6:5       0.997 
      274        2:1        2:1       0.998 
      275        1:0        1:0       0.969 
      276        1:0        1:0       0.995 
      277        8:7        8:7       0.994 
      278       10:9        6:5   +   0.52 
      279        6:5        6:5       0.892 
      280       10:9       10:9       0.989 
      281       10:9       10:9       0.998 
      282        1:0        1:0       0.983 
      283        1:0        1:0       0.959 
      284        2:1        2:1       0.998 
      285        2:1        2:1       0.997 
      286        2:1        2:1       0.832 
      287        4:3        4:3       0.787 
      288        9:8        9:8       0.928 
      289        6:5        6:5       0.995 
      290        5:4        5:4       0.994 
      291        9:8        9:8       0.992 
      292        1:0        1:0       0.975 
      293       10:9       10:9       0.992 
      294        5:4        5:4       0.977 
      295        9:8        9:8       0.988 
      296       10:9       10:9       0.976 
      297        2:1        2:1       0.999 
      298        9:8        9:8       0.942 
      299        6:5        6:5       0.987 
      300        5:4        5:4       0.961 
      301       10:9       10:9       0.995 
      302        2:1        2:1       0.999 
      303        2:1        2:1       0.997 
      304        1:0        1:0       1 
      305       10:9       10:9       0.994 
      306        2:1        2:1       0.989 
      307       10:9       10:9       0.991 
      308        6:5        6:5       0.958 
      309       10:9       10:9       0.964 
      310        5:4        5:4       0.721 
      311        6:5        6:5       0.997 
      312        2:1        2:1       0.987 
      313        5:4        2:1   +   0.852 
      314        1:0        1:0       1 
      315        6:5        6:5       0.997 
      316        1:0        1:0       0.804 
      317        2:1        2:1       0.995 
      318        5:4        5:4       0.955 
      319        2:1        2:1       1 
      320        3:2        6:5   +   0.999 
      321       10:9       10:9       0.979 
      322        2:1        2:1       1 
      323        1:0        1:0       0.776 
      324        2:1        2:1       0.995 
      325       10:9       10:9       0.956 
      326        2:1        2:1       0.978 
      327        8:7        8:7       1 
      328        5:4        5:4       0.873 
      329        6:5        6:5       0.999 
      330        1:0        1:0       0.996 
      331        6:5        6:5       0.994 
      332       10:9       10:9       0.983 
      333        3:2        3:2       0.986 
      334        6:5        6:5       0.994 
      335        2:1        2:1       1 
      336        2:1        2:1       1 
      337        2:1        2:1       0.999 
      338        9:8        9:8       0.978 
      339        5:4        5:4       0.976 
      340       10:9        5:4   +   0.511 
      341        9:8        9:8       0.55 
      342        9:8        9:8       0.954 
      343        6:5        6:5       0.979 
      344        2:1        2:1       0.987 
      345        1:0        1:0       0.952 
      346        2:1        2:1       0.996 
      347        6:5        6:5       0.991 
      348        1:0        1:0       0.938 
      349        1:0        1:0       0.998 
      350        6:5        6:5       0.997 
      351        2:1        2:1       0.997 
      352        1:0        1:0       0.996 
      353       10:9        5:4   +   0.704 
      354        9:8        9:8       0.999 
      355        7:6        7:6       0.989 
      356        2:1        2:1       1 
      357        5:4        5:4       0.993 
      358        9:8        9:8       0.996 
      359        9:8        9:8       0.995 
      360        6:5        6:5       0.977 
      361        2:1        2:1       0.999 
      362        6:5        6:5       0.994 
      363        9:8        9:8       0.991 
      364        3:2        3:2       0.996 
      365        2:1        2:1       0.99 
      366       10:9       10:9       0.941 
      367        1:0        1:0       0.999 
      368        1:0        2:1   +   0.581 
      369        2:1        5:4   +   0.511 
      370        2:1        2:1       0.998 
      371        1:0        1:0       0.991 
      372        9:8        9:8       0.977 
      373        2:1        2:1       1 
      374       10:9       10:9       0.998 
      375        3:2        3:2       0.99 
      376       10:9       10:9       0.944 
      377        2:1        2:1       0.998 
      378        5:4        5:4       0.77 
      379       10:9       10:9       0.991 
      380        9:8        9:8       0.924 
      381        6:5        6:5       0.999 
      382        7:6        7:6       0.966 
      383        2:1        2:1       0.996 
      384        5:4        5:4       0.778 
      385        2:1        2:1       0.998 
      386        2:1        2:1       0.999 
      387       10:9       10:9       0.997 
      388        6:5        6:5       0.992 
      389       10:9       10:9       0.995 
      390        7:6        7:6       0.849 
      391        5:4        5:4       0.988 
      392       10:9       10:9       0.712 
      393        9:8        9:8       0.902 
      394        6:5       10:9   +   0.521 
      395        9:8        2:1   +   0.967 
      396        9:8        9:8       0.998 
      397        1:0        1:0       0.937 
      398        5:4        5:4       0.918 
      399        8:7        8:7       0.997 
      400        5:4        5:4       0.737 
      401        4:3        2:1   +   0.952 
      402        9:8        9:8       0.656 
      403        9:8        2:1   +   0.969 
      404        9:8        9:8       0.995 
      405       10:9       10:9       0.949 
      406       10:9       10:9       1 
      407        2:1        2:1       0.997 
      408        5:4        5:4       0.99 
      409        5:4        5:4       0.908 
      410       10:9       10:9       0.876 
      411       10:9       10:9       0.999 
      412        6:5        6:5       0.983 
      413        4:3        4:3       0.429 
      414       10:9       10:9       0.997 
      415        2:1        2:1       0.967 
      416       10:9       10:9       0.999 
      417        5:4        5:4       0.997 
      418        8:7        8:7       1 
      419       10:9       10:9       0.951 
      420       10:9       10:9       0.682 
      421        5:4        5:4       0.998 
      422        8:7        8:7       0.989 
      423        2:1        2:1       0.999 
      424        7:6        7:6       0.994 
      425       10:9       10:9       0.999 
      426       10:9       10:9       0.997 
      427        4:3        4:3       0.775 
      428        9:8        5:4   +   0.943 
      429       10:9       10:9       0.975 
      430        2:1        2:1       0.999 
      431        2:1        2:1       0.99 
      432        7:6        7:6       0.94 
      433        9:8        9:8       0.994 
      434       10:9       10:9       1 
      435        2:1        2:1       0.998 
      436        2:1        2:1       0.994 
      437        1:0        1:0       0.999 
      438        6:5        6:5       0.808 
      439        2:1        2:1       1 
      440       10:9       10:9       0.998 
      441        1:0        1:0       0.998 
      442        2:1        2:1       0.999 
      443        2:1        2:1       0.998 
      444        5:4       10:9   +   0.864 
      445        5:4        5:4       0.987 
      446        5:4        5:4       0.97 
      447        7:6        7:6       0.769 
      448        6:5        6:5       0.999 
      449        6:5        6:5       0.995 
      450        2:1        2:1       1 
      451        4:3        4:3       0.988 
      452        4:3        4:3       0.992 
      453        2:1        2:1       0.995 
      454        9:8        9:8       0.982 
      455       10:9       10:9       0.779 
      456        5:4        5:4       0.972 
      457        7:6        7:6       0.892 
      458       10:9       10:9       0.955 
      459        9:8       10:9   +   0.729 
      460       10:9       10:9       0.986 
      461        9:8        9:8       0.997 
      462        2:1        2:1       1 
      463       10:9       10:9       0.944 
      464        2:1        2:1       0.998 
      465        5:4        6:5   +   0.556 
      466        9:8        9:8       0.993 
      467        1:0        1:0       0.998 
      468        9:8        9:8       0.849 
      469        2:1        2:1       0.986 
      470        6:5       10:9   +   0.928 
      471        5:4        5:4       0.916 
      472        2:1        2:1       0.999 
      473        4:3        4:3       0.623 
      474        2:1        2:1       0.998 
      475        9:8        9:8       0.998 
      476       10:9       10:9       0.867 
      477       10:9       10:9       0.988 
      478       10:9       10:9       1 
      479        2:1        2:1       0.998 
      480        9:8        9:8       0.999 
      481       10:9       10:9       0.999 
      482        2:1        2:1       0.991 
      483        2:1        2:1       1 
      484        8:7        8:7       0.997 
      485        2:1        2:1       0.993 
      486        1:0        1:0       0.908 
      487        8:7        8:7       1 
      488        1:0        1:0       0.996 
      489        1:0        1:0       0.944 
      490        2:1        2:1       0.972 
      491        2:1        2:1       0.961 
      492        2:1        2:1       0.999 
      493        6:5        6:5       0.731 
      494       10:9       10:9       0.976 
      495        5:4        5:4       0.746 
      496        9:8        9:8       0.988 
      497        5:4        5:4       0.991 
      498        5:4        5:4       0.993 
      499        2:1        2:1       0.997 
      500        2:1        2:1       0.998 
      501        2:1        2:1       0.999 
      502        9:8        9:8       0.994 
      503       10:9       10:9       0.955 
      504        9:8       10:9   +   0.499 
      505        7:6        7:6       0.966 
      506       10:9       10:9       0.995 
      507        1:0        1:0       0.999 
      508        6:5        6:5       0.992 
      509       10:9       10:9       0.987 
      510        4:3        4:3       0.739 
      511        9:8        9:8       0.845 
      512        6:5        6:5       0.999 
      513       10:9       10:9       0.997 
      514        2:1        2:1       0.999 
      515        2:1        2:1       1 
      516        3:2        3:2       0.978 
      517        1:0        1:0       0.997 
      518        9:8        9:8       0.997 
      519        6:5        6:5       0.998 
      520        2:1        2:1       0.987 
      521        9:8        9:8       0.998 
      522       10:9        6:5   +   0.504 
      523       10:9        6:5   +   0.55 
      524        2:1        2:1       1 
      525        4:3        4:3       0.99 
      526        2:1        2:1       0.998 
      527       10:9       10:9       0.995 
      528       10:9       10:9       0.989 
      529        9:8        9:8       0.554 
      530        2:1        2:1       0.999 
      531        5:4        5:4       0.978 
      532       10:9       10:9       0.884 
      533        3:2        9:8   +   0.877 
      534        6:5        6:5       0.994 
      535       10:9       10:9       0.882 
      536        9:8        9:8       0.52 
      537        1:0        1:0       0.996 
      538        2:1        2:1       1 
      539        2:1        2:1       0.999 
      540        2:1        2:1       0.99 
      541        1:0        1:0       0.999 
      542       10:9       10:9       0.99 
      543        5:4        5:4       0.567 
      544       10:9       10:9       1 
      545        6:5        6:5       0.996 
      546        2:1        4:3   +   0.581 
      547        2:1        2:1       0.997 
      548        6:5        6:5       0.993 
      549        2:1        2:1       0.999 
      550        1:0        1:0       0.979 
      551        6:5        6:5       0.99 
      552        9:8        9:8       0.993 
      553        7:6        7:6       0.891 
      554       10:9       10:9       0.996 
      555       10:9       10:9       0.615 
      556        9:8        9:8       0.997 
      557        2:1        2:1       0.997 
      558       10:9       10:9       0.999 
      559       10:9       10:9       0.927 
      560        5:4       10:9   +   0.477 
      561        2:1        2:1       0.992 
      562        2:1        2:1       0.863 
      563        9:8        9:8       0.751 
      564       10:9       10:9       1 
      565        1:0        1:0       0.559 
      566       10:9       10:9       0.926 
      567        5:4        5:4       0.968 
      568        2:1        2:1       0.997 
      569       10:9       10:9       0.757 
      570       10:9       10:9       1 
      571       10:9       10:9       1 
      572        2:1        2:1       0.998 
      573       10:9       10:9       0.93 
      574        7:6        7:6       0.598 
      575        2:1        2:1       0.999 
      576       10:9       10:9       0.995 
      577        2:1        2:1       0.947 
      578        6:5        6:5       0.985 
      579        2:1        2:1       0.998 
      580        5:4        5:4       0.994 
      581        9:8        9:8       0.998 
      582        2:1        2:1       0.983 
      583        9:8        2:1   +   0.606 
      584        8:7        8:7       0.999 
      585        9:8        9:8       0.985 
      586       10:9       10:9       0.97 
      587        6:5        6:5       0.984 
      588        2:1        5:4   +   0.823 
      589        1:0        1:0       0.997 
      590       10:9       10:9       0.975 
      591       10:9       10:9       0.779 
      592        2:1        2:1       1 
      593       10:9       10:9       0.998 
      594       10:9        5:4   +   0.714 
      595        5:4        5:4       0.968 
      596       10:9       10:9       1 
      597        2:1        2:1       0.992 
      598        9:8        9:8       0.997 
      599        5:4        1:0   +   0.554 
      600        9:8        9:8       0.992 
      601       10:9       10:9       0.994 
      602        2:1        2:1       0.998 
      603       10:9       10:9       0.784 
      604        1:0        5:4   +   0.757 
      605        6:5        6:5       0.974 
      606        9:8        9:8       0.963 
      607        2:1        2:1       0.955 
      608       10:9       10:9       0.99 
      609       10:9       10:9       0.748 
      610        6:5        6:5       0.901 
      611        2:1        2:1       0.999 
      612        5:4       10:9   +   0.886 
      613        6:5        6:5       0.983 
      614        2:1        2:1       0.95 
      615       10:9       10:9       1 
      616        9:8        9:8       0.998 
      617        2:1        2:1       0.948 
      618       10:9       10:9       0.996 
      619       10:9       10:9       0.999 
      620       10:9       10:9       1 
      621        9:8        9:8       0.974 
      622       10:9       10:9       0.996 
      623       10:9       10:9       0.999 
      624        6:5        6:5       0.955 
      625        1:0        9:8   +   0.981 
      626        3:2        9:8   +   0.853 
      627       10:9       10:9       0.992 
      628        6:5        6:5       0.995 
      629        1:0        1:0       0.828 
      630        1:0        1:0       0.992 
      631        2:1        2:1       0.998 
      632        9:8        9:8       0.997 
      633        2:1        2:1       0.658 
      634        8:7        8:7       0.999 
      635        4:3        4:3       0.988 
      636        2:1        2:1       0.999 
      637        2:1        2:1       0.993 
      638        2:1        2:1       0.988 
      639        5:4        4:3   +   0.599 
      640        9:8        9:8       0.999 
      641        5:4        5:4       0.988 
      642        6:5        6:5       0.999 
      643        2:1        2:1       0.999 
      644        1:0        1:0       0.997 
      645       10:9       10:9       0.998 
      646        9:8        9:8       0.994 
      647        1:0        1:0       0.995 
      648       10:9       10:9       0.999 
      649        4:3        4:3       0.976 
      650        2:1        2:1       1 
      651        9:8        9:8       0.979 
      652       10:9       10:9       0.966 
      653       10:9       10:9       0.999 
      654        2:1        2:1       0.997 
      655        5:4        5:4       0.968 
      656        3:2        3:2       0.912 
      657        5:4        5:4       0.991 
      658        8:7        8:7       0.996 
      659        3:2        3:2       0.993 
      660       10:9       10:9       0.948 
      661        5:4       10:9   +   0.675 
      662        1:0        1:0       0.996 
      663       10:9       10:9       0.983 
      664        5:4        5:4       0.689 
      665        2:1        2:1       0.985 
      666        7:6        7:6       0.985 
      667       10:9       10:9       0.815 
      668       10:9       10:9       1 
      669        2:1        2:1       0.999 
      670        2:1        2:1       0.999 
      671        2:1        2:1       0.991 
      672        6:5        6:5       0.996 
      673        5:4        5:4       0.928 
      674       10:9        7:6   +   0.84 
      675       10:9       10:9       0.982 
      676        6:5        6:5       0.998 
      677       10:9       10:9       0.997 
      678        3:2        3:2       0.381 
      679        1:0        1:0       0.945 
      680        9:8        9:8       0.999 
      681        1:0        1:0       0.999 
      682        1:0        1:0       0.999 
      683        2:1        2:1       0.999 
      684        2:1        2:1       0.999 
      685        2:1        2:1       0.998 
      686       10:9       10:9       0.995 
      687        3:2        3:2       0.994 
      688        2:1        2:1       1 
      689        6:5        6:5       0.991 
      690       10:9       10:9       0.962 
      691        4:3        4:3       0.976 
      692        1:0        1:0       0.999 
      693        9:8       10:9   +   0.916 
      694        6:5        6:5       0.997 
      695       10:9       10:9       0.997 
      696        7:6        7:6       0.99 
      697        6:5        6:5       0.992 
      698        5:4        5:4       0.962 
      699       10:9       10:9       0.999 
      700        6:5       10:9   +   0.558 
      701       10:9       10:9       0.999 
      702        6:5        6:5       0.925 
      703        1:0        5:4   +   0.8 
      704        6:5        6:5       0.998 
      705        2:1        2:1       0.998 
      706        2:1        8:7   +   0.796 
      707        6:5        6:5       0.997 
      708        2:1        2:1       0.994 
      709       10:9       10:9       0.996 
      710        2:1        2:1       0.991 
      711       10:9       10:9       0.994 
      712        6:5        6:5       0.995 
      713       10:9       10:9       0.931 
      714        2:1        2:1       1 
      715       10:9       10:9       0.998 
      716        9:8        9:8       0.965 
      717       10:9       10:9       0.521 
      718        9:8        9:8       0.993 
      719        6:5        6:5       0.996 
      720       10:9       10:9       0.991 
      721        3:2        3:2       0.55 
      722        2:1        2:1       0.997 
      723        6:5        6:5       0.999 
      724        9:8        9:8       0.92 
      725        1:0        1:0       1 
      726        2:1        2:1       1 
      727        2:1        2:1       1 
      728        1:0        1:0       0.982 
      729        6:5        6:5       0.996 
      730       10:9        5:4   +   0.692 
      731        9:8        9:8       0.994 
      732        2:1        2:1       0.949 
      733        6:5        6:5       0.991 
      734       10:9       10:9       0.943 
      735        4:3       10:9   +   0.54 
      736       10:9       10:9       0.997 
      737        1:0        1:0       0.999 
      738        6:5        6:5       0.984 
      739        2:1        2:1       0.997 
      740        2:1        2:1       1 
      741        1:0        9:8   +   0.496 
      742        7:6        7:6       0.574 
      743       10:9       10:9       0.997 
      744       10:9       10:9       0.997 
      745        3:2        9:8   +   0.546 
      746        2:1        2:1       1 
      747        3:2        9:8   +   0.786 
      748        2:1        2:1       0.998 
      749       10:9       10:9       0.999 
      750        1:0        1:0       0.867 
      751        1:0        1:0       0.965 
      752        5:4        5:4       0.998 
      753        9:8        9:8       0.989 
      754        2:1        2:1       0.887 
      755        5:4        5:4       0.999 
      756        1:0        1:0       0.997 
      757       10:9       10:9       0.799 
      758        2:1        2:1       0.999 
      759        2:1        2:1       0.997 
      760        2:1        2:1       0.999 
      761        2:1        2:1       0.993 
      762        2:1        2:1       1 
      763        2:1        2:1       0.999 
      764        9:8        9:8       0.998 
      765        1:0        1:0       0.999 
      766        6:5        6:5       0.863 
      767       10:9       10:9       1 
      768        4:3        4:3       0.441 
      769        9:8        9:8       0.771 
      770        2:1        2:1       1 
      771        7:6        7:6       0.975 
      772       10:9       10:9       1 
      773        2:1        2:1       0.996 
      774        5:4        6:5   +   0.617 
      775        6:5        6:5       0.998 
      776       10:9       10:9       1 
      777        9:8        9:8       0.998 
      778        6:5        6:5       0.982 
      779        3:2        3:2       0.483 
      780        5:4       10:9   +   0.703 
      781        1:0        1:0       0.998 
      782        9:8        9:8       0.998 
      783        5:4        5:4       0.992 
      784        8:7        8:7       0.716 
      785        9:8        9:8       0.997 
      786       10:9       10:9       0.99 
      787        1:0        1:0       0.989 
      788        2:1        2:1       0.999 
      789        3:2        3:2       0.998 
      790        1:0        1:0       0.984 
      791        9:8        9:8       0.99 
      792        1:0        1:0       0.969 
      793        2:1        2:1       0.999 
      794        9:8        9:8       0.984 
      795        2:1        2:1       0.992 
      796        9:8       10:9   +   0.905 
      797        5:4        5:4       0.833 
      798       10:9       10:9       0.999 
      799        2:1        2:1       1 
      800        2:1        2:1       0.998 
      801        2:1        2:1       0.995 
      802        2:1        2:1       0.962 
      803        2:1        2:1       0.992 
      804        5:4        6:5   +   0.438 
      805        6:5        6:5       0.995 
      806        6:5        5:4   +   0.529 
      807        5:4        5:4       0.97 
      808       10:9       10:9       0.969 
      809        9:8        9:8       0.972 
      810        2:1        2:1       0.993 
      811        2:1        2:1       1 
      812        2:1        2:1       0.997 
      813       10:9       10:9       0.99 
      814        2:1        2:1       0.999 
      815        6:5        6:5       0.998 
      816        5:4        5:4       0.998 
      817        4:3        4:3       0.996 
      818        5:4        5:4       0.568 
      819        1:0        1:0       0.985 
      820        9:8        9:8       0.992 
      821        5:4        5:4       0.963 
      822        2:1        2:1       0.996 
      823       10:9        7:6   +   0.807 
      824       10:9       10:9       0.998 
      825        3:2        3:2       0.997 
      826        6:5        6:5       0.994 
      827        9:8        9:8       1 
      828        5:4       10:9   +   0.731 
      829       10:9       10:9       0.998 
      830        9:8        9:8       0.999 
      831        2:1        2:1       0.993 
      832        9:8        9:8       0.962 
      833       10:9       10:9       1 
      834        5:4        2:1   +   0.365 
      835        2:1        2:1       0.999 
      836        2:1        2:1       1 
      837       10:9       10:9       1 
      838        9:8        9:8       0.996 
      839       10:9       10:9       0.993 
      840       10:9        3:2   +   0.515 
      841        2:1        2:1       0.997 
      842        1:0        1:0       0.775 
      843        5:4        5:4       0.992 
      844        2:1        2:1       0.981 
      845        9:8        9:8       0.982 
