=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.3 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R -D
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
      288        9:8        9:8       0.726 
      289        6:5        6:5       0.966 
      290        5:4        5:4       0.984 
      291        9:8        9:8       0.986 
      292        1:0        1:0       0.906 
      293       10:9       10:9       0.977 
      294        5:4        5:4       0.978 
      295        9:8        9:8       0.972 
      296       10:9       10:9       0.966 
      297        2:1        2:1       0.997 
      298        9:8        9:8       0.906 
      299        6:5        6:5       0.969 
      300        5:4        5:4       0.863 
      301       10:9       10:9       0.98 
      302        2:1        2:1       0.999 
      303        2:1        2:1       0.999 
      304        1:0        1:0       1 
      305       10:9       10:9       0.972 
      306        2:1        2:1       0.961 
      307       10:9       10:9       0.96 
      308        6:5        6:5       0.616 
      309       10:9       10:9       0.968 
      310        5:4        5:4       0.683 
      311        6:5        6:5       0.99 
      312        2:1        2:1       0.987 
      313        5:4        2:1   +   0.649 
      314        1:0        1:0       0.999 
      315        6:5        6:5       0.99 
      316        1:0        1:0       0.787 
      317        2:1        2:1       0.99 
      318        5:4        5:4       0.89 
      319        2:1        2:1       1 
      320        3:2        6:5   +   0.995 
      321       10:9       10:9       0.846 
      322        2:1        2:1       0.999 
      323        1:0        1:0       0.669 
      324        2:1        2:1       0.987 
      325       10:9       10:9       0.934 
      326        2:1        2:1       0.967 
      327        8:7        8:7       0.998 
      328        5:4        5:4       0.734 
      329        6:5        6:5       0.996 
      330        1:0        1:0       0.989 
      331        6:5        6:5       0.991 
      332       10:9       10:9       0.983 
      333        3:2        3:2       0.95 
      334        6:5        6:5       0.992 
      335        2:1        2:1       0.999 
      336        2:1        2:1       1 
      337        2:1        2:1       0.998 
      338        9:8        9:8       0.944 
      339        5:4        5:4       0.966 
      340       10:9        5:4   +   0.747 
      341        9:8        9:8       0.363 
      342        9:8        9:8       0.852 
      343        6:5        6:5       0.891 
      344        2:1        2:1       0.99 
      345        1:0        1:0       0.773 
      346        2:1        2:1       0.997 
      347        6:5        6:5       0.981 
      348        1:0        1:0       0.932 
      349        1:0        1:0       0.996 
      350        6:5        6:5       0.993 
      351        2:1        2:1       0.997 
      352        1:0        1:0       0.989 
      353       10:9        5:4   +   0.773 
      354        9:8        9:8       0.998 
      355        7:6        7:6       0.962 
      356        2:1        2:1       0.999 
      357        5:4        5:4       0.986 
      358        9:8        9:8       0.985 
      359        9:8        9:8       0.976 
      360        6:5        6:5       0.938 
      361        2:1        2:1       1 
      362        6:5        6:5       0.982 
      363        9:8        9:8       0.946 
      364        3:2        3:2       0.984 
      365        2:1        2:1       0.981 
      366       10:9       10:9       0.812 
      367        1:0        1:0       0.998 
      368        1:0        2:1   +   0.766 
      369        2:1        5:4   +   0.606 
      370        2:1        2:1       0.999 
      371        1:0        1:0       0.991 
      372        9:8        9:8       0.93 
      373        2:1        2:1       0.999 
      374       10:9       10:9       0.989 
      375        3:2        3:2       0.901 
      376       10:9       10:9       0.765 
      377        2:1        2:1       0.997 
      378        5:4        5:4       0.929 
      379       10:9       10:9       0.966 
      380        9:8        9:8       0.88 
      381        6:5        6:5       0.993 
      382        7:6        7:6       0.889 
      383        2:1        2:1       0.996 
      384        5:4        5:4       0.935 
      385        2:1        2:1       0.998 
      386        2:1        2:1       0.999 
      387       10:9       10:9       0.969 
      388        6:5        6:5       0.989 
      389       10:9       10:9       0.988 
      390        7:6        7:6       0.666 
      391        5:4        5:4       0.915 
      392       10:9       10:9       0.688 
      393        9:8        9:8       0.747 
      394        6:5        6:5       0.655 
      395        9:8        2:1   +   0.955 
      396        9:8        9:8       0.996 
      397        1:0        1:0       0.785 
      398        5:4        5:4       0.802 
      399        8:7        8:7       0.996 
      400        5:4        5:4       0.728 
      401        4:3        2:1   +   0.917 
      402        9:8        9:8       0.602 
      403        9:8        2:1   +   0.912 
      404        9:8        9:8       0.975 
      405       10:9       10:9       0.909 
      406       10:9       10:9       0.996 
      407        2:1        2:1       0.996 
      408        5:4        5:4       0.981 
      409        5:4        5:4       0.908 
      410       10:9       10:9       0.923 
      411       10:9       10:9       0.996 
      412        6:5        6:5       0.861 
      413        4:3        2:1   +   0.645 
      414       10:9       10:9       0.976 
      415        2:1        2:1       0.97 
      416       10:9       10:9       0.995 
      417        5:4        5:4       0.979 
      418        8:7        8:7       0.999 
      419       10:9       10:9       0.92 
      420       10:9        3:2   +   0.515 
      421        5:4        5:4       0.996 
      422        8:7        8:7       0.99 
      423        2:1        2:1       0.999 
      424        7:6        7:6       0.968 
      425       10:9       10:9       0.997 
      426       10:9       10:9       0.983 
      427        4:3        4:3       0.798 
      428        9:8        5:4   +   0.836 
      429       10:9       10:9       0.9 
      430        2:1        2:1       0.999 
      431        2:1        2:1       0.996 
      432        7:6        7:6       0.887 
      433        9:8        9:8       0.985 
      434       10:9       10:9       0.999 
      435        2:1        2:1       0.998 
      436        2:1        2:1       0.985 
      437        1:0        1:0       0.992 
      438        6:5        6:5       0.887 
      439        2:1        2:1       0.999 
      440       10:9       10:9       0.986 
      441        1:0        1:0       0.992 
      442        2:1        2:1       0.999 
      443        2:1        2:1       0.998 
      444        5:4       10:9   +   0.862 
      445        5:4        5:4       0.953 
      446        5:4        5:4       0.859 
      447        7:6        7:6       0.693 
      448        6:5        6:5       0.995 
      449        6:5        6:5       0.993 
      450        2:1        2:1       0.999 
      451        4:3        4:3       0.888 
      452        4:3        4:3       0.971 
      453        2:1        2:1       0.995 
      454        9:8        9:8       0.938 
      455       10:9       10:9       0.894 
      456        5:4        5:4       0.985 
      457        7:6        7:6       0.897 
      458       10:9       10:9       0.953 
      459        9:8       10:9   +   0.72 
      460       10:9       10:9       0.931 
      461        9:8        9:8       0.967 
      462        2:1        2:1       1 
      463       10:9       10:9       0.589 
      464        2:1        2:1       0.997 
      465        5:4       10:9   +   0.653 
      466        9:8        9:8       0.961 
      467        1:0        1:0       0.989 
      468        9:8        9:8       0.738 
      469        2:1        2:1       0.979 
      470        6:5       10:9   +   0.614 
      471        5:4        5:4       0.882 
      472        2:1        2:1       0.99 
      473        4:3        4:3       0.557 
      474        2:1        2:1       0.997 
      475        9:8        9:8       0.995 
      476       10:9       10:9       0.688 
      477       10:9       10:9       0.936 
      478       10:9       10:9       0.999 
      479        2:1        2:1       0.997 
      480        9:8        9:8       0.998 
      481       10:9       10:9       0.999 
      482        2:1        2:1       0.994 
      483        2:1        2:1       0.999 
      484        8:7        8:7       0.994 
      485        2:1        2:1       0.986 
      486        1:0        1:0       0.73 
      487        8:7        8:7       0.999 
      488        1:0        1:0       0.989 
      489        1:0        1:0       0.968 
      490        2:1        2:1       0.977 
      491        2:1        2:1       0.877 
      492        2:1        2:1       0.988 
      493        6:5        6:5       0.666 
      494       10:9       10:9       0.942 
      495        5:4        5:4       0.86 
      496        9:8        9:8       0.926 
      497        5:4        5:4       0.98 
      498        5:4        5:4       0.981 
      499        2:1        2:1       0.998 
      500        2:1        2:1       0.998 
      501        2:1        2:1       0.999 
      502        9:8        9:8       0.979 
      503       10:9       10:9       0.722 
      504        9:8        9:8       0.456 
      505        7:6        7:6       0.767 
      506       10:9       10:9       0.952 
      507        1:0        1:0       0.996 
      508        6:5        6:5       0.97 
      509       10:9       10:9       0.951 
      510        4:3        4:3       0.83 
      511        9:8        9:8       0.794 
      512        6:5        6:5       0.99 
      513       10:9       10:9       0.995 
      514        2:1        2:1       0.997 
      515        2:1        2:1       0.999 
      516        3:2        3:2       0.923 
      517        1:0        1:0       0.989 
      518        9:8        9:8       0.994 
      519        6:5        6:5       0.988 
      520        2:1        2:1       0.981 
      521        9:8        9:8       0.994 
      522       10:9       10:9       0.499 
      523       10:9        6:5   +   0.599 
      524        2:1        2:1       0.999 
      525        4:3        4:3       0.945 
      526        2:1        2:1       0.997 
      527       10:9       10:9       0.996 
      528       10:9       10:9       0.951 
      529        9:8        9:8       0.545 
      530        2:1        2:1       0.999 
      531        5:4        5:4       0.965 
      532       10:9       10:9       0.855 
      533        3:2        9:8   +   0.871 
      534        6:5        6:5       0.977 
      535       10:9       10:9       0.886 
      536        9:8        9:8       0.624 
      537        1:0        1:0       0.96 
      538        2:1        2:1       0.999 
      539        2:1        2:1       0.998 
      540        2:1        2:1       0.996 
      541        1:0        1:0       0.998 
      542       10:9       10:9       0.981 
      543        5:4        7:6   +   0.576 
      544       10:9       10:9       0.999 
      545        6:5        6:5       0.993 
      546        2:1        4:3   +   0.535 
      547        2:1        2:1       0.998 
      548        6:5        6:5       0.979 
      549        2:1        2:1       0.998 
      550        1:0        1:0       0.968 
      551        6:5        6:5       0.975 
      552        9:8        9:8       0.972 
      553        7:6        7:6       0.884 
      554       10:9       10:9       0.994 
      555       10:9       10:9       0.773 
      556        9:8        9:8       0.98 
      557        2:1        2:1       0.996 
      558       10:9       10:9       0.997 
      559       10:9       10:9       0.754 
      560        5:4        5:4       0.545 
      561        2:1        2:1       0.987 
      562        2:1        2:1       0.845 
      563        9:8        9:8       0.701 
      564       10:9       10:9       1 
      565        1:0        1:0       0.97 
      566       10:9       10:9       0.95 
      567        5:4        5:4       0.966 
      568        2:1        2:1       0.992 
      569       10:9       10:9       0.638 
      570       10:9       10:9       0.998 
      571       10:9       10:9       0.997 
      572        2:1        2:1       0.998 
      573       10:9       10:9       0.832 
      574        7:6        7:6       0.6 
      575        2:1        2:1       0.997 
      576       10:9       10:9       0.989 
      577        2:1        2:1       0.896 
      578        6:5        6:5       0.853 
      579        2:1        2:1       0.993 
      580        5:4        5:4       0.988 
      581        9:8        9:8       0.993 
      582        2:1        2:1       0.919 
      583        9:8        2:1   +   0.96 
      584        8:7        8:7       0.997 
      585        9:8        9:8       0.952 
      586       10:9       10:9       0.933 
      587        6:5        6:5       0.886 
      588        2:1        5:4   +   0.475 
      589        1:0        1:0       0.982 
      590       10:9       10:9       0.939 
      591       10:9       10:9       0.925 
      592        2:1        2:1       1 
      593       10:9       10:9       0.982 
      594       10:9        5:4   +   0.873 
      595        5:4        5:4       0.822 
      596       10:9       10:9       0.999 
      597        2:1        2:1       0.99 
      598        9:8        9:8       0.975 
      599        5:4        5:4       0.521 
      600        9:8        9:8       0.968 
      601       10:9       10:9       0.988 
      602        2:1        2:1       0.999 
      603       10:9       10:9       0.74 
      604        1:0        5:4   +   0.687 
      605        6:5        6:5       0.85 
      606        9:8        9:8       0.969 
      607        2:1        2:1       0.949 
      608       10:9       10:9       0.956 
      609       10:9       10:9       0.699 
      610        6:5        6:5       0.781 
      611        2:1        2:1       0.999 
      612        5:4       10:9   +   0.811 
      613        6:5        6:5       0.965 
      614        2:1        2:1       0.852 
      615       10:9       10:9       0.997 
      616        9:8        9:8       0.992 
      617        2:1        2:1       0.948 
      618       10:9       10:9       0.995 
      619       10:9       10:9       0.997 
      620       10:9       10:9       1 
      621        9:8        9:8       0.885 
      622       10:9       10:9       0.995 
      623       10:9       10:9       0.995 
      624        6:5        6:5       0.917 
      625        1:0        9:8   +   0.958 
      626        3:2        9:8   +   0.722 
      627       10:9       10:9       0.984 
      628        6:5        6:5       0.99 
      629        1:0        1:0       0.757 
      630        1:0        1:0       0.997 
      631        2:1        2:1       0.993 
      632        9:8        9:8       0.989 
      633        2:1        2:1       0.775 
      634        8:7        8:7       0.998 
      635        4:3        4:3       0.946 
      636        2:1        2:1       0.996 
      637        2:1        2:1       0.988 
      638        2:1        2:1       0.995 
      639        5:4        4:3   +   0.731 
      640        9:8        9:8       0.997 
      641        5:4        5:4       0.937 
      642        6:5        6:5       0.995 
      643        2:1        2:1       0.999 
      644        1:0        1:0       0.981 
      645       10:9       10:9       0.998 
      646        9:8        9:8       0.982 
      647        1:0        1:0       0.992 
      648       10:9       10:9       0.999 
      649        4:3        4:3       0.976 
      650        2:1        2:1       0.999 
      651        9:8        9:8       0.956 
      652       10:9       10:9       0.889 
      653       10:9       10:9       0.996 
      654        2:1        2:1       0.996 
      655        5:4        5:4       0.967 
      656        3:2        3:2       0.961 
      657        5:4        5:4       0.982 
      658        8:7        8:7       0.99 
      659        3:2        3:2       0.987 
      660       10:9       10:9       0.919 
      661        5:4       10:9   +   0.519 
      662        1:0        1:0       0.965 
      663       10:9       10:9       0.94 
      664        5:4        5:4       0.716 
      665        2:1        2:1       0.99 
      666        7:6        7:6       0.955 
      667       10:9       10:9       0.797 
      668       10:9       10:9       1 
      669        2:1        2:1       0.999 
      670        2:1        2:1       0.998 
      671        2:1        2:1       0.954 
      672        6:5        6:5       0.967 
      673        5:4        5:4       0.928 
      674       10:9        7:6   +   0.799 
      675       10:9       10:9       0.927 
      676        6:5        6:5       0.983 
      677       10:9       10:9       0.994 
      678        3:2        1:0   +   0.415 
      679        1:0        1:0       0.954 
      680        9:8        9:8       0.994 
      681        1:0        1:0       0.997 
      682        1:0        1:0       0.994 
      683        2:1        2:1       0.999 
      684        2:1        2:1       0.999 
      685        2:1        2:1       0.988 
      686       10:9       10:9       0.976 
      687        3:2        3:2       0.984 
      688        2:1        2:1       0.999 
      689        6:5        6:5       0.982 
      690       10:9       10:9       0.875 
      691        4:3        4:3       0.979 
      692        1:0        1:0       0.998 
      693        9:8       10:9   +   0.783 
      694        6:5        6:5       0.992 
      695       10:9       10:9       0.99 
      696        7:6        7:6       0.968 
      697        6:5        6:5       0.987 
      698        5:4        5:4       0.963 
      699       10:9       10:9       0.994 
      700        6:5       10:9   +   0.669 
      701       10:9       10:9       0.994 
      702        6:5        6:5       0.799 
      703        1:0        5:4   +   0.739 
      704        6:5        6:5       0.986 
      705        2:1        2:1       0.997 
      706        2:1        8:7   +   0.575 
      707        6:5        6:5       0.987 
      708        2:1        2:1       0.98 
      709       10:9       10:9       0.987 
      710        2:1        2:1       0.989 
      711       10:9       10:9       0.981 
      712        6:5        6:5       0.948 
      713       10:9       10:9       0.911 
      714        2:1        2:1       0.998 
      715       10:9       10:9       0.999 
      716        9:8        9:8       0.879 
      717       10:9       10:9       0.528 
      718        9:8        9:8       0.996 
      719        6:5        6:5       0.992 
      720       10:9       10:9       0.981 
      721        3:2        3:2       0.563 
      722        2:1        2:1       0.989 
      723        6:5        6:5       0.995 
      724        9:8        9:8       0.928 
      725        1:0        1:0       0.999 
      726        2:1        2:1       1 
      727        2:1        2:1       1 
      728        1:0        1:0       0.952 
      729        6:5        6:5       0.977 
      730       10:9       10:9       0.84 
      731        9:8        9:8       0.98 
      732        2:1        2:1       0.971 
      733        6:5        6:5       0.979 
      734       10:9       10:9       0.866 
      735        4:3        6:5   +   0.645 
      736       10:9       10:9       0.987 
      737        1:0        1:0       0.995 
      738        6:5        6:5       0.965 
      739        2:1        2:1       0.993 
      740        2:1        2:1       1 
      741        1:0        1:0       0.455 
      742        7:6        7:6       0.792 
      743       10:9       10:9       0.997 
      744       10:9       10:9       0.996 
      745        3:2        9:8   +   0.576 
      746        2:1        2:1       0.999 
      747        3:2        9:8   +   0.535 
      748        2:1        2:1       0.997 
      749       10:9       10:9       0.998 
      750        1:0        1:0       0.795 
      751        1:0        1:0       0.976 
      752        5:4        5:4       0.998 
      753        9:8        9:8       0.966 
      754        2:1        2:1       0.952 
      755        5:4        5:4       0.986 
      756        1:0        1:0       0.999 
      757       10:9       10:9       0.503 
      758        2:1        2:1       0.999 
      759        2:1        2:1       0.994 
      760        2:1        2:1       0.999 
      761        2:1        2:1       0.995 
      762        2:1        2:1       1 
      763        2:1        2:1       0.998 
      764        9:8        9:8       0.988 
      765        1:0        1:0       0.992 
      766        6:5        6:5       0.877 
      767       10:9       10:9       0.998 
      768        4:3        8:7   +   0.52 
      769        9:8        9:8       0.885 
      770        2:1        2:1       1 
      771        7:6        7:6       0.928 
      772       10:9       10:9       0.999 
      773        2:1        2:1       0.987 
      774        5:4        6:5   +   0.693 
      775        6:5        6:5       0.996 
      776       10:9       10:9       0.997 
      777        9:8        9:8       0.993 
      778        6:5        6:5       0.921 
      779        3:2        9:8   +   0.481 
      780        5:4       10:9   +   0.489 
      781        1:0        1:0       0.996 
      782        9:8        9:8       0.996 
      783        5:4        5:4       0.988 
      784        8:7        8:7       0.813 
      785        9:8        9:8       0.994 
      786       10:9       10:9       0.992 
      787        1:0        1:0       0.985 
      788        2:1        2:1       0.999 
      789        3:2        3:2       0.976 
      790        1:0        1:0       0.925 
      791        9:8        9:8       0.977 
      792        1:0        1:0       0.912 
      793        2:1        2:1       0.993 
      794        9:8        9:8       0.711 
      795        2:1        2:1       0.966 
      796        9:8       10:9   +   0.761 
      797        5:4        5:4       0.615 
      798       10:9       10:9       0.997 
      799        2:1        2:1       0.999 
      800        2:1        2:1       0.993 
      801        2:1        2:1       0.998 
      802        2:1        2:1       0.9 
      803        2:1        2:1       0.979 
      804        5:4        6:5   +   0.576 
      805        6:5        6:5       0.967 
      806        6:5        3:2   +   0.587 
      807        5:4        5:4       0.974 
      808       10:9       10:9       0.932 
      809        9:8        9:8       0.918 
      810        2:1        2:1       0.987 
      811        2:1        2:1       0.998 
      812        2:1        2:1       0.993 
      813       10:9       10:9       0.99 
      814        2:1        2:1       1 
      815        6:5        6:5       0.988 
      816        5:4        5:4       0.987 
      817        4:3        4:3       0.991 
      818        5:4        5:4       0.52 
      819        1:0        1:0       0.936 
      820        9:8        9:8       0.987 
      821        5:4        5:4       0.758 
      822        2:1        2:1       0.991 
      823       10:9        7:6   +   0.441 
      824       10:9       10:9       0.99 
      825        3:2        3:2       0.992 
      826        6:5        6:5       0.965 
      827        9:8        9:8       0.996 
      828        5:4       10:9   +   0.557 
      829       10:9       10:9       0.997 
      830        9:8        9:8       0.994 
      831        2:1        2:1       0.988 
      832        9:8        9:8       0.96 
      833       10:9       10:9       0.999 
      834        5:4        4:3   +   0.632 
      835        2:1        2:1       0.998 
      836        2:1        2:1       0.998 
      837       10:9       10:9       0.998 
      838        9:8        9:8       0.986 
      839       10:9       10:9       0.981 
